DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
IT1AAVAKFDVAILS22A0593ENSQ64TPKPNO4SBF5PTQU4GFK3H3NG,JN3D7GQM6833USJR9OO0R1LARGPKTCRE98QG4GM8BIVHI34LF9V0,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
L3FIHU5GFHS4OG5S3CR9Q72AIK0QVJB01PH176U4RF576J6ERAUG,RBIDBGK07GI11FNNOM42COG5B8KCOUD8HFD6R24P15SHEF90LPA0,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
L3FIHU5GFHS4OG5S3CR9Q72AIK0QVJB01PH176U4RF576J6ERAUG,RBIDBGK07GI11FNNOM42COG5B8KCOUD8HFD6R24P15SHEF90LPA0,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VACRQMDFDJ1D1DK9QRKVK120N3L4BCU5REHIDTF0H4DNS3BL33H0,IDJ2AIUE60GOEB7HSTKQ184TMBM1TRR0278JMPQ9M4LIMEM3BM2G,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
VACRQMDFDJ1D1DK9QRKVK120N3L4BCU5REHIDTF0H4DNS3BL33H0,IDJ2AIUE60GOEB7HSTKQ184TMBM1TRR0278JMPQ9M4LIMEM3BM2G,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
CHE6Q1D6BFH6HT11OL208QINN4SVEBSG4FDNIV80Q3R1EBTLQRIG,SC8KL372A9B2TI6VT4ESP7MK21A1DKRKRDU2MP8JA6VE14STO160,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
CHE6Q1D6BFH6HT11OL208QINN4SVEBSG4FDNIV80Q3R1EBTLQRIG,SC8KL372A9B2TI6VT4ESP7MK21A1DKRKRDU2MP8JA6VE14STO160,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KF33KI1IS55MI5CMSAKPNU402LUM3G128293F3AT1G0DJVEGQ360,F9I2I1FESMURA7KIDI0NRQA5G98EORP44PJQ66IEGG05SSJPVK70,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KF33KI1IS55MI5CMSAKPNU402LUM3G128293F3AT1G0DJVEGQ360,F9I2I1FESMURA7KIDI0NRQA5G98EORP44PJQ66IEGG05SSJPVK70,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
C6GM8CLBL0F7F98TVHJBN0FIRHO0VICVPOGK4KC5FQJBE7MKP6F0,8MQN42BL9E4N7FE1SQB48CN3OTTFIKUBA65Q01A3FJTV1M3CE1FG,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
C6GM8CLBL0F7F98TVHJBN0FIRHO0VICVPOGK4KC5FQJBE7MKP6F0,8MQN42BL9E4N7FE1SQB48CN3OTTFIKUBA65Q01A3FJTV1M3CE1FG,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
CDPGIRJ3DBA1E5UR8PE5PEBD13RVJNBQCCU5FM30MTDFG1K49TC0,DD7894B6N4BEF6SCOVSSQUD8T6KIN67ONQDIGKRUSPSQ6KOO0SKG,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
CDPGIRJ3DBA1E5UR8PE5PEBD13RVJNBQCCU5FM30MTDFG1K49TC0,DD7894B6N4BEF6SCOVSSQUD8T6KIN67ONQDIGKRUSPSQ6KOO0SKG,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
UR1SC8OJ7VCL80H0B90I2F98BQNAJ10LP7OS8KLB6RMR13ILOFB0,OA41PJOBDJVSCT8BKEUKRIOCP4MI6OCCK9VV3KHV491I8HQ1II00,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
UR1SC8OJ7VCL80H0B90I2F98BQNAJ10LP7OS8KLB6RMR13ILOFB0,OA41PJOBDJVSCT8BKEUKRIOCP4MI6OCCK9VV3KHV491I8HQ1II00,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
P8HN5EVKPQ786EMF0BKKP6BUR5IQDV6JFUHNFULVV7Q8L8QKQ3SG,POHSNJ9EJ8FGD6O71LF5B1LT4O0B765KOM67680INU895KN81IT0,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
P8HN5EVKPQ786EMF0BKKP6BUR5IQDV6JFUHNFULVV7Q8L8QKQ3SG,POHSNJ9EJ8FGD6O71LF5B1LT4O0B765KOM67680INU895KN81IT0,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
S8GOMQHVCUDGK1D2232T0I6APEI3OV8N1GBOJT0A827AE1RDBSD0,SPPF7N3MJSE76B1JMD0RLH1LJJA6H8GST7Q6CICV6DE90TJ13B6G,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
S8GOMQHVCUDGK1D2232T0I6APEI3OV8N1GBOJT0A827AE1RDBSD0,SPPF7N3MJSE76B1JMD0RLH1LJJA6H8GST7Q6CICV6DE90TJ13B6G,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
M97CCNOVN9VD0K1H95S7EIQ37RPTCFADL0K6D68217VD9EPAD190,D7BQQ1IIJHKIOKBLLALAPPB444K8CIMP2ITN852IIVTPAD4PH2S0,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
M97CCNOVN9VD0K1H95S7EIQ37RPTCFADL0K6D68217VD9EPAD190,D7BQQ1IIJHKIOKBLLALAPPB444K8CIMP2ITN852IIVTPAD4PH2S0,1,14.95,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
